id,first_name,last_name,email,phone_number,is_verified,dt_user_creation
2398427,Asman,Prabowo,wakimanirawan@gmail.com,+62 (042) 278-4323,no,2024-01-01 01:51:30
8088490,Opung,Yolanda,gantarmansur@hotmail.com,+62 (099) 674-4361,yes,2024-01-01 07:42:40
2185217,Alika,Kurniawan,adikarapudjiastuti@yahoo.com,+62-144-022-6942,yes,2024-01-01 02:42:46
8991607,Karman,Tamba,yuliantinatalia@yahoo.com,+62 (847) 222-0198,yes,2024-01-01 19:01:10
6729249,Bagus,Laksita,wirasitorus@yahoo.com,(017) 364-1675,no,2024-01-01 17:30:20
4537027,Cindy,Tampubolon,bpalastri@gmail.com,+62-978-950-6160,no,2024-01-01 13:36:32
5310298,Jati,Permadi,wasisgunawan@hotmail.com,(066) 793 2406,no,2024-01-01 20:08:49
2434544,Jais,Hutagalung,yogahassanah@hotmail.com,+62 (022) 495 7003,yes,2024-01-01 13:01:15
3984110,Karimah,Setiawan,wacanavicky@hotmail.com,(0718) 663 4690,yes,2024-01-01 15:04:15
7674072,Putu,Marpaung,taufikmayasari@gmail.com,+62 (032) 142 4146,yes,2024-01-01 14:02:36
9689676,Uli,Kuswoyo,darijan86@hotmail.com,+62 (14) 977 0337,no,2024-01-01 03:34:52
9620439,Lega,Maheswara,cgunarto@gmail.com,+62 (005) 072 6265,yes,2024-01-01 04:43:16
3304371,Kadir,Permadi,gtampubolon@gmail.com,+62-033-729-7185,no,2024-01-01 21:30:29
6404873,Umar,Sitompul,msiregar@hotmail.com,+62 (926) 844-3186,no,2024-01-01 07:53:25
3692192,Fitria,Prasetya,jsafitri@yahoo.com,0886277077,no,2023-12-31 23:17:09
2707415,Mujur,Nurdiyanti,natalia45@hotmail.com,+62 (297) 063 9065,no,2024-01-01 01:45:23
7671216,Vicky,Aryani,ygunarto@gmail.com,+62-18-680-0729,yes,2024-01-01 17:34:14
9746508,Asmuni,Sirait,kemba44@gmail.com,+62-29-074-4759,no,2024-01-01 15:31:07
7142768,Reza,Rahayu,cengkirtamba@yahoo.com,+62-079-447-7380,yes,2024-01-01 15:29:44
3458256,Galiono,Ramadan,blatupono@hotmail.com,(028) 229 1291,no,2024-01-01 04:37:57
8302015,Kasusra,Hidayanto,siregarcalista@yahoo.com,+62 (38) 023-8219,no,2024-01-01 05:04:15
7707611,Puji,Nainggolan,mustofabakianto@yahoo.com,0874274915,no,2024-01-01 13:09:29
5559363,Gawati,Wulandari,xlailasari@hotmail.com,+62 (022) 298 3171,no,2024-01-01 17:53:14
3896182,Elon,Ardianto,sabri84@hotmail.com,+62-41-538-6817,no,2024-01-01 04:05:40
1847436,Intan,Hutapea,sgunarto@gmail.com,+62 (834) 583-6085,yes,2024-01-01 21:59:02
6550322,Tira,Manullang,fmaryati@hotmail.com,0826589932,no,2024-01-01 13:32:00
7834572,Betania,Winarno,muni63@yahoo.com,083 409 7323,no,2024-01-01 17:48:23
2388350,Marsito,Utama,namagasoleh@hotmail.com,(0691) 210-7944,no,2024-01-01 07:27:28
6386595,Gada,Salahudin,hanamanullang@yahoo.com,+62-0700-002-9985,no,2024-01-01 10:06:24
7677519,Jamil,Sihombing,wagemandala@yahoo.com,+62 (0057) 449-0580,yes,2024-01-01 16:48:33
5346849,Cakrajiya,Budiyanto,karja94@yahoo.com,+62 (110) 085-8981,yes,2023-12-31 23:20:57
7924978,Asmuni,Pratama,gaduh92@gmail.com,+62-91-975-7080,no,2024-01-01 07:26:02
5761901,Radika,Iswahyudi,argono99@hotmail.com,(053) 063 6848,no,2023-12-31 23:00:29
6108756,Belinda,Mulyani,qoktaviani@yahoo.com,+62 (083) 168 8803,no,2024-01-01 06:27:35
2777877,Usman,Sinaga,saka29@gmail.com,088 795 1034,no,2024-01-01 06:46:45
1968560,Darsirah,Salahudin,manullangparman@hotmail.com,+62-724-357-3472,no,2024-01-01 06:34:30
7614367,Prabu,Hartati,padmasaribahuraksa@gmail.com,+62-85-866-5012,yes,2024-01-01 18:41:24
1352128,Gara,Wibisono,bhutapea@gmail.com,+62 (99) 705-8859,no,2024-01-01 05:27:48
6719181,Kamal,Rajasa,emong47@gmail.com,+62 (0112) 661-6257,yes,2024-01-01 08:45:05
3594704,Nyoman,Wulandari,yono70@hotmail.com,+62-017-452-7315,yes,2024-01-01 19:04:32
3170865,Hana,Yulianti,jdabukke@hotmail.com,+62 (28) 569 1054,yes,2024-01-01 05:34:53
4590078,Vanesa,Fujiati,bakiadi37@yahoo.com,+62 (961) 561-8099,yes,2024-01-01 02:28:26
