payment_id,send_at,payment_method,account_number,payment_status,transaction_id
FP19419,2023-01-10 01:05:18,Jenius,111787322,Success,FT333299702
FP43176,2022-12-26 14:48:08,Digibank,058945298,Failed,FT979524746
FP19949,2022-03-08 05:32:29,BRI,033422862,Cancelled,FT136451355
FP36409,2022-07-16 05:33:44,Permata,080146421,Success,FT938101502
FP98295,2023-07-28 05:33:55,BSI,010540385,Cancelled,FT543224670
FP59675,2023-06-21 06:10:33,BSI,042964968,Cancelled,FT298515060
FP89884,2023-08-10 01:42:04,Muamalat,026543758,Success,FT665832537
FP50307,2023-03-04 15:57:07,BNI,082937667,Failed,FT843411980
FP51897,2022-08-21 03:48:52,BNI,095184300,Cancelled,FT200979038
FP41091,2023-06-29 19:31:01,BSI,071258962,Success,FT767104798
FP39720,2022-07-12 12:35:36,Mandiri,048477336,Failed,FT539394219
FP28937,2023-06-28 16:40:56,Danamon,082698498,Success,FT674107439
FP53087,2023-11-15 07:23:07,Permata,110987466,Failed,FT247586818
FP68984,2022-03-29 02:15:25,BSI,065568642,Success,FT181105239
FP60280,2022-06-30 03:31:39,BNI,059174987,Failed,FT201484946
FP47919,2022-05-08 12:59:50,Danamon,093632346,Success,FT060802878
FP75936,2022-01-06 08:19:40,Digibank,123955773,Failed,FT843902430
FP05754,2022-09-07 10:45:17,CIMB,126690802,Failed,FT938552718
FP26948,2023-05-23 02:56:42,Permata,028927084,Failed,FT103476067
FP49988,2023-06-22 22:16:20,Muamalat,126635744,Cancelled,FT177092355
FP25941,2022-08-27 18:08:45,Permata,067053359,Failed,FT555506007
FP55845,2022-12-13 20:15:08,BNI,120775257,Cancelled,FT657575481
FP80611,2023-03-11 08:20:58,Digibank,041548398,Success,FT613974310
FP01775,2022-10-22 12:23:26,Mandiri,060044983,Cancelled,FT236884732
FP81204,2023-08-08 08:11:10,Permata,069390858,Failed,FT019299568
FP85794,2022-12-25 22:45:34,BSI,078020481,Cancelled,FT266993935
FP06802,2023-01-17 07:33:38,Digibank,094202199,Cancelled,FT488194086
FP72168,2023-05-23 01:11:02,Muamalat,118184067,Cancelled,FT522573083
FP45762,2022-01-08 04:31:14,BRI,112595102,Failed,FT562963703
FP88367,2022-11-10 18:02:05,Permata,051476531,Failed,FT127448829
FP02127,2023-02-11 21:10:08,BRI,014629163,Success,FT924482466
FP22331,2022-09-21 01:26:56,Permata,048373595,Success,FT481685959
FP46647,2023-06-12 15:14:55,BRI,079982926,Failed,FT963250341
FP77527,2022-08-02 04:28:08,CIMB,088292089,Cancelled,FT911660229
FP51872,2022-02-10 13:20:27,Digibank,013363048,Failed,FT259314924
FP04268,2023-09-26 07:21:39,BSI,028598918,Cancelled,FT602395962
FP35787,2022-02-06 00:46:13,BNI,032138487,Cancelled,FT230365030
FP32567,2022-06-29 06:41:52,CIMB,035041335,Success,FT627370518
FP85616,2023-04-04 12:09:25,BSI,117482854,Failed,FT964473450
FP74843,2023-12-29 20:09:23,Muamalat,086363855,Success,FT543224670
FP68191,2022-05-11 08:41:36,BRI,090184729,Success,FT770517788
FP59403,2023-06-03 13:37:59,Permata,012314603,Failed,FT288576467
FP11340,2022-07-16 19:37:49,BRI,016188770,Cancelled,FT002693301
FP47443,2022-11-01 02:55:51,BRI,092627501,Cancelled,FT297970619
FP25315,2022-10-08 21:55:40,Jenius,096719185,Failed,FT248877064
FP74655,2023-03-24 14:08:06,Danamon,037028385,Cancelled,FT552787402
FP72923,2022-06-27 15:40:58,Danamon,074507241,Cancelled,FT782874889
FP91427,2023-03-25 05:36:30,BRI,031939218,Cancelled,FT941818454
FP42129,2022-07-27 17:20:58,Mandiri,081694914,Cancelled,FT635546966
FP31919,2023-09-09 07:13:07,Mandiri,106325621,Failed,FT507414936
FP01070,2023-08-01 04:19:11,BCA,028473033,Success,FT779918326
FP40364,2022-11-03 14:31:04,BNI,123761666,Success,FT400348489
FP16617,2022-08-19 11:09:24,BSI,062870317,Cancelled,FT598252852
FP42552,2022-09-30 22:00:37,Mandiri,050109029,Failed,FT237832603
FP24552,2023-06-24 10:39:04,CIMB,027034871,Failed,FT947745074
FP74477,2023-03-06 09:17:03,Muamalat,106592409,Cancelled,FT555252192
FP52245,2023-10-16 20:06:57,BCA,029074130,Success,FT680268886
FP04554,2022-09-15 13:03:27,CIMB,107995461,Success,FT002491718
FP67793,2022-03-28 10:22:13,Danamon,016001239,Success,FT282352333
FP69441,2022-02-24 19:39:58,BCA,076027020,Success,FT812386671
FP80945,2023-11-20 09:35:48,BNI,109582018,Success,FT038277455
FP62721,2022-07-15 09:44:10,Danamon,013186636,Success,FT053359767
FP02810,2023-11-07 10:42:07,BNI,080692629,Failed,FT353024623
FP51546,2023-01-30 07:03:13,BSI,073794275,Cancelled,FT592180083
FP10499,2022-12-13 08:03:32,BRI,101576019,Cancelled,FT459485104
FP16262,2022-04-11 08:57:04,BCA,078985432,Success,FT289216938
FP96298,2023-02-03 23:08:21,BSI,085499500,Failed,FT585301788
FP50894,2023-07-23 08:52:29,BSI,037311788,Cancelled,FT835478873
FP12246,2023-09-15 00:54:49,Jenius,084645588,Cancelled,FT035312734
FP66509,2023-07-07 21:25:27,Mandiri,069236556,Failed,FT715776692
FP88117,2023-05-04 20:58:42,Jenius,026240323,Success,FT913584476
FP11098,2022-08-01 06:34:38,BNI,056982114,Cancelled,FT094422992
FP84471,2023-04-08 12:23:06,Mandiri,049180460,Cancelled,FT715540576
FP23727,2023-10-02 03:14:54,Jenius,115461495,Cancelled,FT309900930
FP48012,2023-06-24 01:54:53,BCA,066458528,Failed,FT686194238
FP48492,2023-11-03 20:19:18,BNI,067752207,Success,FT647106149
FP87288,2023-01-25 05:20:06,BRI,057615529,Failed,FT821292223
FP28065,2023-11-12 22:57:04,Permata,092630310,Failed,FT902596201
FP49602,2023-12-18 20:07:07,BSI,100458989,Failed,FT020185182
FP11062,2022-06-09 07:44:53,CIMB,063710832,Failed,FT695543882
FP51624,2023-12-17 05:16:36,BCA,068017925,Failed,FT576654094
FP59761,2023-02-02 19:54:15,Permata,111462294,Success,FT001435170
FP70949,2023-02-02 03:06:34,Permata,016852514,Failed,FT333299702
FP47324,2022-09-12 12:21:55,Muamalat,046433343,Cancelled,FT080554636
FP39734,2022-09-01 15:46:32,Digibank,020427090,Success,FT400862328
FP37459,2022-06-30 03:48:18,BRI,073203083,Cancelled,FT218795132
FP92650,2023-06-16 20:39:53,BCA,102563940,Failed,FT482313025
FP57303,2023-06-12 08:25:54,BCA,034878965,Success,FT423260253
FP22329,2023-04-27 21:59:10,Jenius,094723115,Failed,FT817762035
FP72502,2022-09-26 13:38:55,BNI,102462070,Cancelled,FT133373808
FP25756,2022-04-22 23:34:38,BRI,053977384,Failed,FT936341956
FP00445,2022-08-22 03:35:29,Jenius,051930527,Success,FT999856353
FP88758,2023-11-13 03:06:05,Danamon,029506145,Success,FT139331685
FP21159,2022-05-14 08:37:56,Mandiri,055515692,Success,FT551220394
FP64664,2022-07-24 12:21:55,Danamon,038557305,Cancelled,FT605884609
FP95936,2023-05-26 00:43:46,Digibank,086968027,Failed,FT473719723
FP09099,2022-11-20 02:49:24,CIMB,041196342,Success,FT721374225
FP99734,2023-05-07 02:12:30,BCA,010671144,Cancelled,FT526083192
FP13499,2023-07-23 00:32:44,BNI,051594688,Failed,FT571176780
FP91227,2023-12-14 19:41:28,Danamon,068270209,Failed,FT561229143
FP20626,2023-08-10 00:25:41,Muamalat,025940352,Cancelled,FT563758678
FP52927,2023-02-04 12:01:30,BSI,111853502,Success,FT378929108
FP77207,2022-02-03 02:03:38,Digibank,070189430,Success,FT576035066
FP86461,2023-05-03 16:21:52,BSI,078991879,Cancelled,FT786707914
FP37157,2023-07-03 13:42:15,Muamalat,058381726,Success,FT968298659
FP20014,2022-05-09 19:57:09,Danamon,025969993,Cancelled,FT808588462
FP75648,2022-03-11 15:31:23,Danamon,103941749,Failed,FT731581714
FP39176,2023-03-28 10:17:37,Danamon,026147316,Failed,FT689060210
FP62140,2023-06-16 08:37:16,BRI,092449103,Failed,FT699879886
FP75147,2022-04-23 19:39:28,Jenius,118491284,Failed,FT934406837
FP91139,2022-06-24 17:24:21,Mandiri,098525995,Cancelled,FT226188691
FP20825,2022-12-28 04:53:13,CIMB,103509055,Success,FT509494046
FP19364,2022-03-17 14:54:49,Muamalat,091123763,Cancelled,FT501987568
FP12782,2022-05-04 03:38:38,Permata,114552334,Cancelled,FT135095750
FP28695,2023-12-05 08:46:26,Mandiri,032928590,Success,FT820064970
FP26744,2022-08-06 03:49:35,BNI,022910262,Cancelled,FT531589287
FP61904,2023-03-05 08:27:07,BRI,057996918,Cancelled,FT962966310
FP07267,2022-03-14 05:31:57,Jenius,045118928,Success,FT218949718
FP43178,2022-12-06 04:36:45,BRI,081333880,Success,FT707959661
FP70931,2023-05-28 17:41:55,Danamon,029661750,Failed,FT710043597
FP24231,2023-11-26 07:37:13,Jenius,044392855,Cancelled,FT812739538
FP79085,2023-11-03 08:24:52,Mandiri,120074055,Failed,FT265409362
FP14069,2023-03-03 00:17:58,Permata,017393593,Failed,FT349795364
FP94676,2023-02-23 20:25:46,BRI,059093783,Success,FT298691198
FP20831,2022-01-29 22:23:42,Danamon,045476835,Success,FT805950742
FP99317,2022-09-09 16:13:27,Muamalat,064828286,Success,FT315518036
FP46370,2023-03-05 10:31:20,Permata,061820245,Success,FT018713650
FP14052,2023-04-06 14:53:30,Jenius,021808867,Success,FT711625233
FP69722,2022-10-27 08:46:11,BCA,090888054,Success,FT839993789
FP53576,2022-05-22 03:20:48,BCA,027994775,Success,FT927898672
FP20211,2023-02-21 10:10:52,BNI,065571558,Success,FT060067342
FP20524,2022-11-21 07:21:27,Digibank,097775649,Success,FT420571663
FP88925,2023-11-08 13:04:22,CIMB,051589554,Cancelled,FT552787402
FP56586,2023-11-12 09:41:32,Mandiri,116823252,Success,FT899373508
FP33820,2022-06-26 03:26:45,BSI,077084538,Cancelled,FT755833490
FP19511,2023-11-24 11:22:51,CIMB,128991758,Success,FT379597524
FP44047,2023-07-22 14:48:18,Danamon,121938132,Success,FT693651010
FP79895,2022-02-09 14:19:45,Danamon,065464490,Success,FT649408893
FP75670,2023-12-29 13:02:57,BCA,036163131,Success,FT102171127
FP36637,2022-09-22 13:32:03,CIMB,061219474,Cancelled,FT368488911
FP06922,2022-12-27 00:06:01,CIMB,050415166,Success,FT226538370
FP27322,2023-05-29 12:06:29,BCA,045046168,Failed,FT636342533
FP91440,2022-08-23 12:06:13,Mandiri,101190877,Failed,FT932504018
FP65565,2023-12-23 07:18:37,Muamalat,030024399,Success,FT781751067
FP96632,2023-10-10 23:55:03,Danamon,049911817,Failed,FT365795363
FP17690,2022-08-09 11:06:50,Mandiri,126156663,Cancelled,FT803486877
FP51912,2023-09-16 05:23:58,Permata,107538064,Cancelled,FT479603010
FP76757,2023-08-05 14:30:39,BCA,118281630,Success,FT515261711
FP49224,2022-06-30 00:10:26,BRI,101313036,Cancelled,FT058041765
FP10787,2022-10-20 18:47:00,Danamon,119875210,Success,FT295070596
FP06966,2022-01-02 17:22:35,Mandiri,076837391,Cancelled,FT301989094
FP09628,2023-03-22 20:32:27,Permata,102010189,Cancelled,FT186949795
FP12408,2023-04-23 10:47:22,CIMB,044396880,Failed,FT521367598
FP78161,2022-08-31 21:52:16,Permata,038840423,Failed,FT077291282
FP55897,2022-05-15 18:37:10,CIMB,092449145,Failed,FT982796859
FP08684,2023-02-20 19:30:07,BCA,021267806,Failed,FT658695753
FP20038,2022-05-04 14:35:30,BRI,046338215,Success,FT171183968
FP86304,2023-07-19 18:16:52,Jenius,072472080,Success,FT200785089
FP88613,2022-02-13 11:27:43,Jenius,055707015,Failed,FT328571068
FP21158,2022-01-16 14:12:40,BCA,077400138,Success,FT400862328
FP15600,2023-11-17 09:05:02,BRI,099995977,Success,FT638023095
FP36425,2023-09-20 17:10:37,BSI,062881335,Cancelled,FT728831100
FP85669,2022-12-17 17:00:20,BCA,089962321,Cancelled,FT095030031
FP14113,2022-04-13 10:04:45,BCA,037097730,Failed,FT331155628
FP81920,2022-06-13 03:30:51,Jenius,021274048,Cancelled,FT099338325
FP04513,2022-12-18 03:11:09,BCA,014076253,Failed,FT169537316
FP93311,2022-08-05 15:48:49,Danamon,066726917,Failed,FT297080760
FP29224,2023-11-23 08:28:35,Muamalat,061953497,Cancelled,FT301989094
FP62952,2022-08-29 07:03:26,BCA,106757422,Failed,FT085617045
FP09262,2023-11-05 00:37:26,Permata,070739880,Cancelled,FT814268265
FP65927,2022-04-25 15:48:24,Jenius,055300632,Cancelled,FT822007766
FP07702,2022-11-20 16:47:47,Muamalat,020061951,Failed,FT643505032
FP55221,2023-06-15 16:03:41,Digibank,122964590,Cancelled,FT491219624
FP98191,2023-12-08 11:27:02,Digibank,039198970,Failed,FT445499401
FP22503,2022-04-08 12:01:39,Mandiri,097672506,Failed,FT191137066
FP66919,2022-06-11 01:59:16,CIMB,011834935,Cancelled,FT887068016
FP22542,2023-11-15 23:51:19,Mandiri,058229464,Cancelled,FT050322873
FP00189,2022-04-21 18:13:55,Muamalat,018508552,Success,FT719199189
FP66636,2022-02-01 23:31:53,CIMB,122700071,Success,FT089844390
FP08577,2023-10-01 08:30:07,BSI,121715300,Cancelled,FT054688196
FP73911,2023-06-08 16:19:35,BCA,080839479,Success,FT599996363
FP49421,2023-04-26 00:22:12,Mandiri,032415760,Success,FT055894549
FP31396,2022-05-12 11:20:06,BNI,084235037,Failed,FT356123035
FP98957,2022-05-30 22:17:16,Digibank,025499382,Failed,FT905116736
FP47616,2023-09-20 18:32:52,BRI,050877898,Success,FT605884609
FP68472,2022-12-27 08:57:25,Permata,096557509,Success,FT166385346
FP17811,2022-02-02 08:56:29,Danamon,116750804,Success,FT268341746
FP16484,2023-12-08 11:22:11,Digibank,030156306,Success,FT566077047
FP65881,2022-05-11 13:21:28,BRI,070269127,Success,FT394064135
FP18428,2022-03-23 12:14:25,BRI,014963188,Cancelled,FT321904335
FP82119,2022-04-01 20:43:25,Jenius,120797646,Success,FT453862739
FP57853,2022-10-20 22:35:39,Muamalat,084853134,Failed,FT162174804
FP87559,2022-12-08 10:13:55,Mandiri,105381190,Success,FT860240672
FP41466,2023-10-14 16:10:48,Permata,094238493,Success,FT025604401
FP22846,2022-12-27 06:00:13,Jenius,093997007,Success,FT401769532
FP23924,2022-12-05 21:53:54,Mandiri,014511556,Success,FT856414070
FP40167,2023-04-01 05:34:02,Mandiri,039007786,Failed,FT639835720
FP41223,2022-10-29 06:10:14,Mandiri,106112339,Cancelled,FT844160825
FP64274,2022-02-15 17:07:08,Mandiri,057984137,Cancelled,FT351467700
FP47568,2023-03-07 08:40:54,BCA,077296737,Failed,FT100196350
FP93602,2023-09-29 06:10:09,BNI,019483838,Success,FT632965405
FP05028,2022-09-09 11:14:35,BCA,091110226,Success,FT678603646
FP36568,2023-10-08 21:46:39,BNI,065455302,Success,FT799883566
FP05307,2023-06-18 00:16:41,Jenius,051971942,Cancelled,FT858748335
FP39319,2022-12-29 20:27:43,Muamalat,075633156,Failed,FT503423318
FP06635,2023-06-02 01:56:00,Digibank,049104789,Success,FT348631468
FP99875,2023-01-07 03:51:21,Mandiri,078945304,Failed,FT135699988
FP89903,2022-07-21 08:20:30,Mandiri,092440898,Cancelled,FT275470672
FP25683,2023-06-07 23:26:18,BCA,044502412,Success,FT481616730
FP44907,2022-04-04 08:46:47,Danamon,057528412,Failed,FT124293197
FP59188,2022-01-31 13:14:56,Danamon,114545312,Failed,FT676127309
FP20808,2022-12-20 17:07:32,Permata,055426354,Success,FT483636741
FP57689,2023-01-23 19:25:25,Jenius,116549002,Success,FT078960208
FP61537,2022-05-09 01:24:49,BRI,084538909,Cancelled,FT823426110
FP26515,2023-11-12 14:46:00,Danamon,055350909,Failed,FT670785118
FP35164,2022-03-23 09:08:39,Muamalat,016960419,Cancelled,FT530292627
FP77895,2023-06-18 20:35:06,Danamon,107550453,Success,FT503633482
FP17477,2023-06-18 03:22:38,Permata,122213649,Success,FT798903693
FP55619,2023-04-20 17:38:05,Danamon,118032999,Failed,FT638686415
FP22006,2022-12-24 05:53:14,Muamalat,021261048,Success,FT113430194
FP19887,2022-12-19 18:47:11,Danamon,066852713,Success,FT369660577
FP93942,2023-02-22 19:48:14,BNI,083991110,Failed,FT266478092
FP12745,2022-08-28 21:59:53,Permata,074948431,Cancelled,FT707705122
FP93433,2023-09-21 01:06:40,BCA,129942861,Cancelled,FT967436676
FP79533,2022-07-17 17:52:39,BCA,087170759,Cancelled,FT935706710
FP51627,2022-04-27 22:35:32,BSI,026411288,Success,FT823012043
FP17902,2023-08-19 19:51:23,BRI,013793362,Failed,FT816483601
FP01864,2022-02-24 03:32:29,Danamon,083548686,Failed,FT607148910
FP04728,2022-03-18 06:45:00,Danamon,034196676,Cancelled,FT491627280
FP65045,2023-11-21 00:39:55,Danamon,065965122,Failed,FT080346102
FP50805,2022-11-11 18:55:57,BRI,112250890,Success,FT064511881
FP38406,2023-07-31 00:31:31,BNI,105349116,Failed,FT132746325
FP23481,2023-03-07 13:12:52,CIMB,120612831,Success,FT623844774
FP08989,2022-07-26 13:05:06,Jenius,090598603,Failed,FT248478077
FP16554,2022-08-13 09:49:58,Mandiri,096930977,Success,FT407785341
FP42547,2022-04-01 14:24:57,Danamon,057984328,Failed,FT591353217
FP91995,2022-11-02 06:04:45,BRI,049248878,Success,FT837534339
FP49469,2023-04-18 15:56:31,BNI,118891758,Failed,FT291885653
FP06277,2022-08-14 12:18:57,BNI,062292364,Cancelled,FT186384529
FP94445,2022-06-17 02:37:59,Permata,122662999,Success,FT106607926
FP59423,2022-09-22 02:12:58,BRI,113037245,Cancelled,FT301034871
FP97877,2023-01-07 16:41:18,Muamalat,109280721,Success,FT961164570
FP51450,2023-11-01 12:00:50,Permata,060455051,Cancelled,FT842018157
FP60532,2022-01-28 19:46:15,Jenius,092853760,Success,FT886225225
FP56075,2022-12-19 02:39:12,BSI,023744945,Cancelled,FT090997218
FP00127,2022-07-09 17:50:19,BNI,032954661,Success,FT337222007
FP88503,2023-09-14 15:04:32,BRI,129997557,Failed,FT836194001
FP99443,2022-06-12 18:28:44,Mandiri,093129972,Failed,FT169089220
FP93477,2023-01-02 21:49:52,Digibank,056106699,Success,FT108352039
FP69450,2022-03-02 13:46:43,Muamalat,028106957,Success,FT206601734
FP72276,2022-07-17 10:12:19,BSI,034083378,Success,FT039966141
FP23259,2023-03-21 18:06:28,Muamalat,025495357,Cancelled,FT145211578
FP02772,2022-07-30 00:50:02,CIMB,053596150,Failed,FT160497630
FP36946,2022-04-06 18:02:40,Permata,012781184,Failed,FT661006534
FP69527,2023-06-09 13:20:12,Digibank,118610528,Failed,FT398331854
FP25429,2023-03-06 22:48:54,BSI,059197618,Cancelled,FT427648531
FP00155,2023-08-05 16:08:26,Danamon,026046572,Failed,FT562138519
FP37120,2022-11-21 09:07:48,BCA,080579959,Success,FT402274403
FP96428,2022-12-08 22:39:24,Jenius,020815165,Success,FT452107353
FP12595,2023-07-21 11:25:31,Mandiri,027478233,Cancelled,FT705191245
FP50870,2022-09-26 17:32:26,Jenius,051058917,Success,FT941042118
FP08243,2022-08-10 23:53:05,BNI,093717151,Success,FT712303173
FP20411,2022-07-13 04:21:09,BRI,060163152,Failed,FT244752209
