transaction_id,created_at,recipient_bank,account_number,amount,unique_code,transaction_status,admin_fee,user_id
FT948179694,2022-10-24 02:11:15,Permata,079225874,2848000.0,438.0,Cancelled,0,2393555
FT323495753,2023-02-09 23:35:44,BRI,089745483,1664000.0,946.0,Success,1500,3592967
FT493446136,2022-07-04 20:19:51,BCA,043864766,2502000.0,852.0,Success,1500,9444680
FT509557159,2023-07-04 22:44:51,BSI,063823839,2027000.0,461.0,Checking,1500,3692192
FT372993766,2023-10-30 14:29:18,BRI,075671037,1181000.0,65.0,Cancelled,0,2752890
FT962923609,2022-10-22 12:31:39,BCA,092121434,738000.0,376.0,Need Confirmation,1500,6794567
FT316460893,2022-11-23 06:45:18,BNI,100693252,3234000.0,174.0,Need Confirmation,1500,3904182
FT705551416,2023-04-24 20:56:24,Permata,128165199,1313000.0,439.0,Checking,0,2210000
FT214536262,2022-11-28 18:46:07,Permata,049710238,3120000.0,260.0,Processed,0,7924978
FT853228563,2022-09-05 00:32:24,Maybank,084921095,702000.0,153.0,Checking,0,4620956
FT322992906,2022-09-27 17:12:33,Permata,049116502,1622000.0,754.0,Checking,0,5761901
FT864660380,2023-11-13 11:06:24,Ovo,077038526,3774000.0,78.0,Need Confirmation,0,2393555
FT299134303,2023-04-10 12:12:21,Mandiri,098723522,2978000.0,988.0,Checking,1500,7924978
FT957851379,2023-06-08 16:46:01,Seabank,065815366,716000.0,344.0,Failed,1500,6257735
FT168492081,2022-02-26 13:51:07,BSI,071393005,2446000.0,436.0,Need Confirmation,0,1849092
FT793327136,2023-10-24 11:07:34,BSI,109954183,4438000.0,146.0,Processed,0,9490323
FT006451572,2022-06-04 06:57:07,Ovo,069918191,548000.0,197.0,Success,0,2210000
FT227771690,2022-03-15 19:36:31,Seabank,103776192,2256000.0,62.0,Cancelled,0,4015441
FT237133556,2023-03-31 23:11:46,LinkAja,074786907,2294000.0,841.0,Need Confirmation,0,2651524
FT437513516,2022-04-16 06:09:40,Seabank,075205665,4519000.0,595.0,Need Confirmation,0,2393555
FT047855449,2023-11-08 18:32:54,BJB,082203401,2772000.0,306.0,Success,0,2065198
FT777792677,2022-12-15 15:26:28,Maybank,108225389,2632000.0,493.0,Failed,1500,9190387
FT583621005,2022-02-13 16:15:24,Dana,107936226,268000.0,695.0,Cancelled,1500,4294984
FT801480060,2022-01-31 08:10:39,BNI,027900277,250000.0,333.0,Processed,1500,1849092
FT868975922,2023-11-30 03:14:11,Dana,053952820,2819000.0,691.0,Need Confirmation,1500,7265557
FT416812189,2023-10-21 18:57:22,Gopay,039702900,3296000.0,912.0,Failed,1500,8183609
FT853339885,2022-02-20 14:36:26,BJB,045706673,2529000.0,352.0,Processed,0,7142768
FT296675289,2023-03-09 07:32:41,Seabank,052348574,3293000.0,559.0,Checking,1500,4294984
FT230511542,2023-03-17 19:10:19,BRI,127314912,505000.0,950.0,Checking,1500,8088490
FT220347108,2023-08-25 14:36:30,Shopeepay,010493296,3927000.0,968.0,Checking,1500,9444680
FT138525911,2023-09-23 20:32:00,BCA,023134128,2058000.0,412.0,Processed,1500,7243793
FT247413691,2022-06-28 23:01:13,Dana,034138508,1615000.0,839.0,Processed,1500,6234034
FT556238222,2022-04-12 03:54:55,Maybank,061031128,3717000.0,944.0,Need Confirmation,0,3710530
FT479540332,2023-07-16 20:09:49,Maybank,087162259,1771000.0,693.0,Processed,1500,1565475
FT022122454,2023-04-05 09:47:36,BSI,125788799,3949000.0,319.0,Checking,0,3984110
FT743164301,2023-10-29 06:33:59,Dana,023563757,2736000.0,869.0,Cancelled,1500,3513847
FT372840179,2022-10-14 17:15:10,BJB,018463163,1252000.0,126.0,Cancelled,0,7614367
FT971251526,2023-10-30 21:42:50,BRI,078638828,2362000.0,95.0,Need Confirmation,1500,6729249
FT786825007,2023-08-09 05:01:41,BNI,025743287,4262000.0,340.0,Cancelled,1500,4537027
FT370445149,2022-04-18 02:06:38,Maybank,115645758,4819000.0,864.0,Cancelled,1500,7677519
FT228633252,2023-11-07 18:28:11,Dana,097452920,2287000.0,812.0,Processed,0,2398427
FT775414937,2023-07-02 02:34:00,Mandiri,108871487,1693000.0,783.0,Need Confirmation,1500,2348677
FT688753680,2023-11-29 18:39:11,BCA,064328896,2811000.0,304.0,Success,0,4620956
FT354585439,2022-12-27 06:36:04,Dana,048656380,2737000.0,351.0,Need Confirmation,1500,2210000
FT977032966,2022-10-06 17:36:36,Mandiri,030983964,640000.0,582.0,Cancelled,0,6729249
FT565028287,2023-11-27 08:13:00,JAGO,097968333,4307000.0,160.0,Failed,0,4614393
FT069995063,2023-09-24 16:47:46,Permata,111015858,635000.0,746.0,Success,0,6386595
FT321188078,2022-04-09 14:40:11,LinkAja,037798958,1409000.0,346.0,Need Confirmation,0,4299271
FT808153738,2022-09-13 03:12:55,LinkAja,105040651,3819000.0,633.0,Cancelled,1500,9701100
FT953747191,2022-07-01 13:31:47,BSI,068849533,1133000.0,65.0,Processed,1500,4614393
FT689648790,2022-09-09 12:04:13,BJB,074229781,1306000.0,655.0,Failed,1500,2398427
FT233379788,2023-09-23 15:06:22,Shopeepay,066733463,3586000.0,495.0,Processed,1500,3729063
FT837025847,2023-02-18 02:38:36,Shopeepay,086388966,4353000.0,122.0,Processed,1500,3984110
FT443508544,2023-07-18 05:39:41,Seabank,018993976,3658000.0,414.0,Success,1500,5346849
FT669768114,2022-02-22 04:33:46,BRI,063872741,2660000.0,511.0,Success,1500,7671216
FT615479619,2022-04-10 08:34:18,Seabank,011223575,4892000.0,472.0,Processed,0,5701323
FT960546679,2023-07-12 19:49:41,Dana,127282060,4778000.0,517.0,Processed,1500,8852173
FT249987221,2022-03-30 21:12:00,Permata,083874402,4360000.0,652.0,Cancelled,1500,9746508
FT226859745,2022-12-26 14:41:52,Mandiri,127040613,2755000.0,990.0,Success,1500,2210000
FT061285996,2023-08-12 02:31:37,Dana,129659219,4927000.0,865.0,Success,1500,8852173
FT975491707,2022-06-23 00:15:11,LinkAja,108954566,3174000.0,534.0,Need Confirmation,1500,4015441
FT962238519,2022-04-16 15:25:50,BCA,082905026,4975000.0,455.0,Checking,1500,4590078
FT679140910,2022-09-04 00:35:38,Seabank,021978645,2867000.0,909.0,Cancelled,0,2065198
FT230365030,2023-08-26 03:52:40,Mandiri,105163091,2054000.0,417.0,Need Confirmation,1500,4532476
FT369440296,2023-10-26 20:14:47,BNI,108517136,3847000.0,369.0,Cancelled,0,3703203
FT642938419,2022-04-21 12:33:26,Seabank,095774972,933000.0,258.0,Failed,1500,2185217
FT082514037,2022-12-21 09:00:32,Permata,106038170,4388000.0,481.0,Need Confirmation,0,3729063
FT188756483,2023-01-18 17:35:35,Ovo,096632369,3533000.0,635.0,Checking,1500,7962314
FT165653373,2023-06-10 23:57:56,Ovo,059516626,796000.0,982.0,Processed,1500,7614367
FT241167235,2022-07-14 17:13:00,BCA,053916277,3768000.0,67.0,Need Confirmation,1500,7674072
FT646412952,2023-01-07 21:04:25,Seabank,121712947,4991000.0,923.0,Processed,0,5310298
FT737309732,2023-10-11 14:38:19,Gopay,038797754,2156000.0,529.0,Processed,0,4620956
FT777427631,2023-11-24 00:06:50,BNI,071264927,3823000.0,788.0,Success,0,6234034
FT490645600,2022-11-27 03:08:14,Dana,067212682,1933000.0,504.0,Cancelled,1500,7898268
FT488655614,2022-12-27 08:21:52,Muamalat,057906694,2807000.0,276.0,Cancelled,0,3513847
FT769938190,2023-02-05 07:18:37,BJB,054680803,1610000.0,446.0,Cancelled,1500,6108756
FT492659768,2022-03-10 04:12:03,Mandiri,077043825,4117000.0,458.0,Processed,0,6404873
FT758070386,2022-07-23 07:52:02,Shopeepay,096091353,793000.0,182.0,Success,0,6404873
FT208830739,2022-03-18 13:49:01,Muamalat,090263611,1453000.0,738.0,Need Confirmation,0,7265557
FT328079683,2022-11-05 03:50:19,JAGO,028371339,2296000.0,83.0,Checking,0,6108756
FT557467973,2022-11-24 18:34:47,Gopay,015094755,1836000.0,994.0,Need Confirmation,1500,4537027
FT710509713,2023-07-07 09:48:24,BJB,124265006,2893000.0,662.0,Checking,1500,3304371
FT870619958,2022-01-31 03:18:53,BRI,104076011,4876000.0,952.0,Cancelled,0,2348677
FT531374866,2023-06-29 16:55:59,Mandiri,100163012,2657000.0,100.0,Checking,0,7671216
FT066516844,2023-08-24 21:08:04,Dana,105671839,790000.0,830.0,Checking,0,3984110
FT328478906,2023-11-16 01:38:52,Gopay,095007937,3151000.0,813.0,Checking,1500,7898268
FT096894014,2022-10-07 19:26:35,BRI,051056618,1515000.0,547.0,Checking,0,7962314
FT437609666,2022-09-07 00:23:20,JAGO,065578742,1167000.0,159.0,Need Confirmation,1500,4532476
FT866593092,2023-05-16 08:44:56,LinkAja,026111339,2893000.0,819.0,Failed,0,7962314
FT309076738,2022-07-11 19:39:15,Dana,020934884,1008000.0,356.0,Cancelled,0,2319026
FT019299568,2022-05-20 07:46:36,Dana,104321957,2805000.0,50.0,Failed,0,7677519
FT241387956,2023-02-15 22:21:31,Maybank,057946887,4560000.0,177.0,Processed,0,8952856
FT726896569,2022-02-28 18:26:48,BCA,044779708,1150000.0,327.0,Processed,0,1968560
FT155747506,2022-06-02 05:35:33,Seabank,103644172,3924000.0,524.0,Cancelled,1500,9746508
FT845107672,2022-12-09 10:29:36,Maybank,057042477,4156000.0,347.0,Failed,1500,7924978
FT941609821,2023-09-09 00:32:01,Permata,028504928,752000.0,900.0,Processed,0,3703203
FT748328434,2023-05-02 23:16:36,Dana,021904266,4159000.0,994.0,Checking,0,7243793
FT638171315,2022-07-04 12:59:45,Seabank,097894559,806000.0,886.0,Success,1500,3984110
FT121124943,2022-04-09 16:12:18,JAGO,031901806,4282000.0,62.0,Cancelled,0,3458256
FT942001915,2022-06-03 20:13:51,Mandiri,105371074,370000.0,868.0,Need Confirmation,0,3692192
FT748115637,2023-11-26 11:43:28,BCA,050353561,417000.0,871.0,Need Confirmation,0,2319026
FT627756185,2022-02-25 12:57:36,BRI,020355094,3958000.0,851.0,Success,1500,3513847
FT649810881,2023-05-29 22:15:04,Maybank,055098902,391000.0,72.0,Success,0,7614367
FT947411430,2022-06-06 05:30:32,Maybank,092132180,1448000.0,975.0,Success,1500,1572750
FT171188580,2022-03-12 18:01:12,JAGO,127130277,4348000.0,242.0,Processed,0,2651524
FT213204929,2022-09-07 22:33:49,Dana,076886685,995000.0,734.0,Cancelled,1500,5761901
FT201103639,2023-08-01 02:26:38,Gopay,020625575,4248000.0,251.0,Cancelled,1500,8183609
FT942939302,2022-10-18 07:59:22,Seabank,046645717,3575000.0,53.0,Need Confirmation,1500,2185217
FT393678064,2023-05-02 17:24:36,Gopay,049788215,1194000.0,167.0,Checking,0,4696083
FT651582582,2023-09-18 21:56:02,BJB,126027077,3726000.0,311.0,Failed,0,2651524
FT480877391,2022-07-04 23:33:22,Shopeepay,096945836,2696000.0,584.0,Checking,1500,6794567
FT802275162,2022-08-29 01:48:33,BNI,064727329,2156000.0,568.0,Failed,1500,4532476
FT892330424,2023-11-18 00:04:19,BCA,046862846,3473000.0,912.0,Need Confirmation,1500,7834572
FT041905907,2023-09-25 11:08:58,Dana,016519284,2510000.0,902.0,Checking,1500,7834572
FT290613721,2022-12-15 20:16:09,JAGO,034569245,1289000.0,894.0,Cancelled,1500,4299271
FT700150319,2023-02-10 22:20:24,Muamalat,105690014,4324000.0,554.0,Failed,1500,3304371
FT706242788,2022-11-03 20:11:30,LinkAja,110057503,649000.0,487.0,Processed,0,2065198
FT205958716,2023-04-16 09:57:35,LinkAja,119661165,1076000.0,728.0,Processed,0,8183609
FT049600305,2022-03-22 16:24:05,LinkAja,091782324,4492000.0,68.0,Processed,1500,7924978
FT570385469,2022-02-06 09:49:13,Muamalat,097704063,808000.0,334.0,Failed,0,8952856
FT421326829,2022-01-04 11:46:22,Seabank,066364887,89000.0,336.0,Failed,0,4620956
FT557864357,2023-05-04 13:32:08,Shopeepay,071977696,99000.0,535.0,Checking,0,4532476
FT318756054,2023-07-26 12:46:48,JAGO,086025779,58000.0,518.0,Need Confirmation,1500,8991607
FT148690049,2024-01-02 01:50:26,BRI,102308642,547000.0,180.0,Need Confirmation,0,7671216
FT969156749,2023-05-04 16:04:12,Dana,084536969,1362000.0,818.0,Processed,0,3592967
FT193394236,2023-05-04 21:56:05,BCA,120939789,98000.0,530.0,Failed,1500,9701100
FT888900594,2023-12-31 06:28:40,BNI,101308876,4359000.0,905.0,Processed,1500,7265557
FT069258754,2022-01-08 19:27:56,Mandiri,073062088,250000.0,303.0,Processed,0,5346849
FT225902171,2023-09-05 06:27:52,Maybank,060445870,4803000.0,875.0,Checking,1500,5761901
FT762389659,2022-11-28 12:52:38,Permata,046353148,2636000.0,59.0,Checking,1500,2752890
FT757193517,2023-05-31 21:31:20,Permata,051358523,2767000.0,805.0,Cancelled,1500,2348677
FT553805879,2022-04-04 10:43:46,LinkAja,122041248,285000.0,878.0,Need Confirmation,0,7142768
FT948436286,2023-12-27 02:20:46,Shopeepay,010628715,1237000.0,66.0,Processed,0,3797397
FT707022364,2022-12-09 11:18:29,Dana,077768171,4541000.0,349.0,Need Confirmation,1500,3896182
FT297868058,2022-11-10 09:48:23,Maybank,044584825,1588000.0,497.0,Cancelled,1500,3304371
FT254872849,2023-05-03 18:44:50,Gopay,119446296,3663000.0,355.0,Checking,0,2777877
FT842614531,2022-12-26 12:56:35,Permata,065971666,4019000.0,251.0,Failed,1500,9620439
FT139424006,2022-06-01 22:44:23,JAGO,109593201,2986000.0,788.0,Cancelled,1500,2752890
FT903565768,2023-08-23 05:37:42,Muamalat,107408796,2622000.0,613.0,Cancelled,0,3797397
FT094546827,2022-04-01 17:13:16,BJB,070808135,592000.0,814.0,Checking,0,4909543
FT230715135,2023-04-19 09:50:04,Maybank,026373478,3377000.0,913.0,Cancelled,0,7470590
FT551091264,2022-03-03 01:01:29,Muamalat,110025292,2392000.0,104.0,Need Confirmation,1500,9689676
FT198925282,2022-06-04 13:54:04,Maybank,122673878,3452000.0,155.0,Cancelled,1500,4909543
FT216889280,2022-10-22 10:38:25,JAGO,109589493,80000.0,476.0,Checking,1500,2434544
FT212592510,2023-07-01 19:18:44,BCA,010101766,474000.0,435.0,Success,0,1352128
FT520567827,2023-11-15 22:26:37,Maybank,067460861,4187000.0,237.0,Need Confirmation,1500,4614393
FT367833906,2023-11-11 23:59:01,BCA,012473670,867000.0,436.0,Cancelled,1500,7674072
FT030097922,2022-12-05 05:16:16,BJB,037548674,4418000.0,937.0,Need Confirmation,1500,3710530
FT657908474,2024-01-02 20:16:42,Mandiri,016200360,4032000.0,164.0,Failed,0,3904182
FT163753967,2022-03-14 21:12:35,BNI,124407631,2336000.0,344.0,Checking,0,7243793
FT272920284,2023-11-07 12:52:50,LinkAja,010217650,391000.0,654.0,Cancelled,0,7707611
FT688645906,2022-07-25 13:25:32,BNI,036511110,1392000.0,447.0,Cancelled,1500,6108756
FT987515829,2023-12-28 14:18:40,Shopeepay,061114809,439000.0,996.0,Need Confirmation,1500,9490323
FT229153828,2022-07-31 03:26:57,Dana,055677158,3528000.0,975.0,Success,1500,2210000
FT601709383,2022-08-06 05:15:11,Maybank,024187475,4365000.0,903.0,Cancelled,0,6108756
